日期,交易总结,建仓逻辑
2026.07.20,日总结：在下跌趋势中不要做单，等回调时做单。,建仓逻辑：盘整突破，期货力度大。
2026.07.21,日总结：1、在上证指数跌至3740附近，结合期货力度做单。2、股价持续下跌，10：11时指数降至3740附近，之后平滑上涨，股价直接拉回前面下跌区间的一半，后回调幅度小，可做单。3、13：03-13：36顶背离，回调后没下去，之后在回踩时做单。4、涨停板时在快到涨停价时开始排涨停板，注意要在成交量多的市场，也就是流动性好的市场去排涨停板，同步看套利预期利润，保证预期利润是红的，若股价跌下涨停板之后撤单。,建仓逻辑：双底，绿柱越来越少，快线和慢线越来越近，且期货力度大。
2026.07.22,日总结：1、今天的建仓一个是14：00底背离，一个是14：11，因为159516流动性好，在这个点做单亏也亏不了多少，但利润很大。2、在临近收盘之前那一段时间价格上涨，如果后续下午开盘价格下跌，回调幅度大，后续可继续看强。,建仓逻辑：双底，期货力度大，且经历了三次平滑上涨回调，每一次上涨都非常丝滑，且上涨幅度都几乎覆盖了前面每一波下切的幅度，认为此时买方力量大，于是在第三次回调时建仓。
2026.07.23,日总结：1、先有做单的想法，再去看期货力度，力度大做单。2、不在下跌波段中间做，可参考套利软件的利润。3、10：17及10：29时间点周期走到这儿，加底背离。加期货力度，可做单。4、下跌波段走的很碎，历史经验很难起，但可以走一个档，卡买一或卖一去接。,建仓逻辑：三底，期货力度大，且绿柱一个周期走完。
2026.07.24,日总结：1、做弱转强，看期货力度就可能慢了，这时候主要看上证指数，上证指数下跌后维稳，就可以做。2、今天可做单的重要点位：10：24可建仓是因为指数单边跌，维稳，看期货力度，然后建仓。10：44可建仓是因为利润涨的很快，可做单。11：26和13：25是做指数。3、今天盘面：外围都在跌。一般这种有两种情况：一个是低开后下杀，然后抄底；一个是直接高开，这种一般是在竞价时候做套利。,建仓逻辑：上午都是碎波，下午两波直接拉升，再加上期货在那一瞬间力度大，而且红柱也很多，所以认为现在是上涨趋势，于是建仓。
2026.07.27,日总结：可做单的点：1、开盘下杀一波做9：31。2、二波不创新低做单9：45。3、后续看强回调做单。4、指数突破高点可做单14：30。,建仓逻辑：前面丝滑上涨，对整个盘面后续走势看强，回调做单，再配合期货力度，此时期货力度大，于是建仓。
2026.07.28,日总结：最重要的还是要选对市场，不能量太大，量太大扫不上单。,
2026.07.29,日总结：1、究于目前行情，不追求波段，主要看盘口，不抄底，但今天实际做的时候，尤其是做T的时候还是有一点不理性。2、做T建议点位：9：50（在国家队建仓成本附近，且期货力度很大）；10：24（双底，且IC，上证指数、深成指、创业板指上涨力度都挺大）。3、套利：选的市场量太少，容易扫不上单。4、其他：做左侧是带着预期去做单，逆势做。做右侧：类似于上涨一波后回调做单。,建仓逻辑：1、指数在3800附近。2、期货力度很大。
2026.07.30,日总结：1、利空信号：美联储宣布维持原利率，不加息；美伊冲突升级导致原油价格上涨。2、做T建议点位：10.44（单边跌，期货一波“V”回去）；11：02（IH先于IC动，且IH力度非常之大）；13：05（转势，做右侧）。3、套利：停牌和涨跌停总市值有数字，高级设置看一下哪只股票涨跌停，是否封板，是否可以排上板。,建仓逻辑：下午开盘后直接两波拉升，认为后续会止跌回稳，两波拉升后进入盘整阶段，以为是突破新高，再配合期货力度，于是建仓，结果没想到没涨起来。
2026.07.31,日总结：1、预期科技高开，且幅度大，着重考虑其他板块，但不要去做电力、银行前些天避险板块，可考虑如机器人、有色、军工板块，但也可能其他板块被科技吸血，盘中再去看。2、整体来看做单的话，今天主要是做波，但没啥利润。,建仓逻辑：13：28-13;49这一段时间一直走的都是小碎波，走到前面最低点附近，同时看绿柱几乎没有了，而且快线几乎要穿过慢线，构成金叉，且此刻有期货力度，建仓。
2026.08.03,日总结：1、降预期，对比2015年，有个最坏的预期，熊市。2、做单：开盘前半个小时要走一个周期，等下跌周期走完再做单；A杀完后续再起一般不做。3、套利：找到合适的市场，盘口，再去做波，找不到市场不硬做。,建仓逻辑：双底或三底，结合上午10：30之前一路碎跌，10：30之后一波拉升，后续两波回调均为小幅回调，配合11：11期货力度IC很大，建仓。
2026.08.04,日总结：1、盘中有盘口且有想做的点，可做单，没盘口即使有想做的点也别做。红利和大盘以及科技翘翘板时容易出利润，如果是同弱，可做可不做，因为出不了利润。2、套利：红利的市场不主动做波，除非能红着进，挣顺势盘口的钱，因为红利没有丝滑的波。尾盘可以去找市场做溢价。盘中算现差，现差高于一个档不做，如300万的市场，现差高于3000不做。,
2026.08.05,"日总结：1、前一晚美对中通信进行制裁，导致通信第二天会跌停，可竞价，哪怕亏很多；
做跷跷板：科技、通信高位时，可去尝试寻找电力、红利机会进行做单；
尾盘寻找市场做溢价。
2、套利：今天找的市场在实盘里是成交不了的，因为流动性不好，有空单，在成交明细里没有陆陆续续的扫单或接单，流动性不好。
3、可做波的点：
前一天强势，第二天低开或平开百一以内；
单波顺滑的波，回调不到一半，即为有效回调，在回调时做波。",
2026.08.06,"日总结：1、昨天消息面：美制裁中通信，按理说昨天通信应该大跌，但实际上昨天通信涨了，再加上昨天K线图，对于散户，可能会认为通信会反弹，加仓，而对于市场，逆势走，今天通信可能会大跌。
建议：少做单，等盘口，策略性做单。
注意跷跷板。
2、套利：尾盘做溢价，如果有涨停票，假如放空股票16万，利润红8千时候才能进，至少红5个档。
高开不参与竞价，低开有量有利润参与竞价。",
2026.08.07,"日总结：1、消息面：特朗普对多晶硅加征关税，注意对光伏、化工板块的影响。
刚果宣布禁止铜精矿出口，注意对稀土、有色板块的影响。
2、套利：画线三角收敛，破位及时止损。
硬件与软件，跷跷板，资金存量有限。
软件中计算的利润是不包含北交所股票的利润的，所以在做含有北交所股票的ETF时要注意额外减去北交所股票。",
2026.08.10,"日总结：1、消息面：美国发布非农数据，降低加息预期。
上周五晚美国光板块涨的较多。
2、套利：尾盘集合竞价，没有扫单可以先撤单，也可以先平仓一部分，等到集合竞价有扫单时，去平仓，按买二、买三去挂单。",
